update;: 27-07-2023;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;MONITORING KAPASITAS SERVER STORAGE;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
NO;TYPE;HOSTNAME MGMT;IP MGMT;SN;TIPE;OS;KAPASITAS TB;USAGE TB;USAGE (%);CPU GB;Slot Dimm;Slot Dimm Usage;RAM (GB);Slot HDD;Jumlah HDD;Jenis HDD;PIC;LAYANAN;IP LAYANAN;HOSTNAME LAYANAN;Tahun Pengadaan;Expired
1;Dell Unity XT 480;Unisphere StorageYAN01;172.17.4.41;DE403204509469;Storage;;198,8;116,6;58,65%;;;;;155;131;"105 x SAS
26 x NL SAS";;cloud.dpr.go.id;192.168.51.52;nextcloudUbuntu;;01/11/2017
;;;;;;;;;;;;;;;;;;simfoni.dpr.go.id;192.168.51.15;dc02-nextcloud-app06.dpr.go.id;;
;;;;;;;;;;;;;;;;;;lpse.dpr.go.id;192.168.50.99;dc02-lpse-web96;;
2;Dell PowerStore;CLUSTER-DPR;172.17.4.51;8K6T0N3;Server;;12,7;0,52;4,09%;4108;48;24;192;25;15;"13 x NVMe SSD
2 x NVMe NVRAM";;;;;2022;01/11/2024
3;PowerEdge R750;DH4KM4T3;172.17.4.34;H4KM4T3;Server;;21,45;2,5;11,66%;32;32;16;256;16;16;"2 x SATA
14 x SAS";;;;;;01/10/2025
4;PowerEdge R750;dc02-bckp02;172.17.4.35;C4KM4T3;Server;;26,82;0,002;0,01%;24;32;8;128;16;10;10 x SATA;;;;;;01/10/2025
5;Dell ME5012;Storage Backup;"172.17.4.36
172.17.4.37";5PS0YS3;Storage;;93,8;29,9;31,88%;;;;;12;12;12 x SAS MDL;;;;;;01/10/2025
6;PowerEdge R720;BREXIT01.dc02-infra.dpr.go.id;172.17.4.16;3904232;Server;Windows Server 2012 R2;0,278;0,182;65,47%;24;24;24;192;16;2;2 x SAS HDD;;;;;;01/11/2017
7;PowerEdge R720;BREXIT02.dc02-infra.dpr.go.id;172.17.4.17;F904232;Server;Windows Server 2012 R2;0,278;0,086;30,94%;24;24;24;192;16;2;2 x SAS HDD;;;;;;01/11/2017
8;PowerEdge R720;BREXIT03.dc02-infra.dpr.go.id;172.17.4.18;7904232;Server;Windows Server 2012 R2;0,278;0,072;25,90%;24;24;21;168;16;2;2 x SAS HDD;;;;;;01/11/2017
9;PowerEdge R630;MINWINPC;172.17.4.21;34M3GL2;Server;VMware ESXi;2,234;1,117;50,00%;28;24;8;256;8;3;3 x SAS HDD;;;;;;01/08/2020
10;PowerEdge R630;MINWINPC;172.17.4.22;34N2GL2;Server;VMware ESXi;4,469;1,117;24,99%;28;24;8;256;8;5;5 x SAS HDD;;;;;;01/08/2020
11;PowerEdge R630;MINWINPC;172.17.4.23;34PYFL2;Server;;5,58;0;0,00%;28;24;8;256;8;5;5 x SAS HDD;;;;;;01/08/2020
12;PowerEdge R630;MINWINPC;172.17.4.24;34QXFL2;Server;;3,351;0;0,00%;28;24;8;256;8;3;3 x SAS HDD;;;;;;01/08/2020
13;PowerEdge R630;MINWINPC;172.17.4.25;34P0GL2;Server;VMware ESXi;2,234;0;0,00%;28;24;8;256;8;2;2 x SAS HDD;;;;;;01/08/2020
